0ad: 48 total files, 0 missing files
kodi-addon-inputstream-adaptive: 165 total files, 0 missing files
kodi-addon-inputstream-rtmp: 162 total files, 0 missing files
kodi-platform: 13 total files, 0 missing files
kpackage: 228 total files, 0 missing files
krb5: 206 total files, 0 missing files
kservice: 418 total files, 0 missing files
ktextwidgets: 348 total files, 0 missing files
kwallet: 329 total files, 0 missing files
kwayland: 140 total files, 0 missing files
kwidgetsaddons: 493 total files, 0 missing files
kwindowsystem: 371 total files, 0 missing files
kxmlgui: 385 total files, 0 missing files
l-smash: 17 total files, 0 missing files
ladspa: 28 total files, 0 missing files
lame: 31 total files, 0 missing files
lapack: 16 total files, 0 missing files
lcms2: 27 total files, 0 missing files
ldb: 58 total files, 0 missing files
ldns: 573 total files, 0 missing files
lensfun: 81 total files, 0 missing files
less: 11 total files, 0 missing files
lf-bin: 3 total files, 0 missing files
lib2geom: 109 total files, 0 missing files
lib32-acl: 7 total files, 0 missing files
lib32-alsa-lib: 11 total files, 0 missing files
lib32-alsa-plugins: 25 total files, 0 missing files
lib32-amdvlk: 12 total files, 0 missing files
lib32-at-spi2-atk: 10 total files, 0 missing files
lib32-at-spi2-core: 7 total files, 0 missing files
lib32-atk: 7 total files, 0 missing files
lib32-attr: 7 total files, 0 missing files
lib32-brotli: 18 total files, 0 missing files
lib32-bzip2: 10 total files, 0 missing files
lib32-cairo: 31 total files, 0 missing files
lib32-colord: 8 total files, 0 missing files
lib32-curl: 10 total files, 0 missing files
lib32-dbus: 19 total files, 0 missing files
lib32-e2fsprogs: 22 total files, 0 missing files
lib32-expat: 17 total files, 0 missing files
lib32-faudio: 16 total files, 0 missing files
lib32-flac: 15 total files, 0 missing files
lib32-fontconfig: 15 total files, 0 missing files
lib32-freetype2: 7 total files, 0 missing files
lib32-fribidi: 7 total files, 0 missing files
lib32-gcc-libs: 44 total files, 0 missing files
lib32-gdk-pixbuf2: 13 total files, 0 missing files
lib32-gettext: 22 total files, 0 missing files
lib32-giflib: 8 total files, 0 missing files
lib32-glib-networking: 7 total files, 0 missing files
lib32-glib2: 37 total files, 0 missing files
lib32-glibc: 328 total files, 0 missing files
lib32-glu: 7 total files, 0 missing files
lib32-gmp: 14 total files, 0 missing files
lib32-gnutls: 10 total files, 0 missing files
lib32-gst-plugins-base-libs: 89 total files, 0 missing files
lib32-gstreamer: 36 total files, 0 missing files
lib32-gtk3: 49 total files, 0 missing files
lib32-harfbuzz: 22 total files, 0 missing files
lib32-icu: 36 total files, 0 missing files
lib32-json-glib: 7 total files, 0 missing files
lib32-keyutils: 7 total files, 0 missing files
lib32-krb5: 61 total files, 0 missing files
lib32-lcms2: 10 total files, 0 missing files
lib32-libasyncns: 7 total files, 0 missing files
lib32-libcanberra: 31 total files, 0 missing files
lib32-libcap: 18 total files, 0 missing files
lib32-libcups: 11 total files, 0 missing files
lib32-libdatrie: 7 total files, 0 missing files
lib32-libdrm: 30 total files, 0 missing files
lib32-libelf: 21 total files, 0 missing files
lib32-libepoxy: 10 total files, 0 missing files
lib32-libffi: 11 total files, 0 missing files
